no-hope,hope
7.6109424,-7.658696
7.4919915,-7.533161
7.5285263,-7.5825944
7.4669995,-7.5479226
7.6232815,-7.665238
7.189598,-7.119049
7.6455736,-7.663787
7.7162333,-7.774133
7.6512923,-7.684425
7.679873,-7.7079797
7.4955034,-7.5290446
7.624494,-7.665201
7.6451116,-7.6899357
7.6176095,-7.636427
7.6099973,-7.6537967
7.6485605,-7.6863537
7.70216,-7.73809
6.12856,-6.052449
7.547011,-7.558295
7.636136,-7.674382
7.5748143,-7.6144667
7.658083,-7.6755204
7.681072,-7.71198
7.664725,-7.6821885
7.6483874,-7.7031007
7.5503173,-7.5455246
7.640526,-7.684236
7.6459193,-7.672469
7.6844683,-7.721835
7.670092,-7.670441
7.5079355,-7.503835
7.687702,-7.717459
7.6344614,-7.671415
7.6647415,-7.742773
7.5818896,-7.6149654
7.6735744,-7.6962495
7.599893,-7.6041775
7.6527123,-7.6644597
7.6474376,-7.704284
7.7369285,-7.755873
7.6050515,-7.6154814
7.6578064,-7.755938
7.682985,-7.723494
7.5785904,-7.5709925
7.5646834,-7.571206
7.6293383,-7.673183
7.690501,-7.7318554
7.7021065,-7.744725
7.5836377,-7.6222878
7.589027,-7.5902824
7.5336714,-7.5877304
7.602738,-7.637221
7.7324567,-7.778699
7.7206354,-7.794585
7.557221,-7.6156793
7.666976,-7.676873
7.6059284,-7.660045
7.2635117,-7.319588
7.5758314,-7.599021
7.6350474,-7.6876035
7.713049,-7.765927
7.678187,-7.729004
6.572075,-6.573428
7.6448298,-7.7027793
7.6826077,-7.7291937
7.611455,-7.648974
7.635724,-7.648825
7.6427,-7.651747
6.9700913,-7.0274725
7.730682,-7.776009
7.730825,-7.7532997
7.6171036,-7.6483016
7.6949806,-7.7038608
7.7056193,-7.7324586
7.490345,-7.516883
7.738917,-7.7652617
7.754877,-7.7799907
7.589901,-7.612309
7.522622,-7.5586166
7.5783095,-7.6215296
7.6166687,-7.6626153
7.617971,-7.6809096
7.603723,-7.651433
7.631708,-7.650882
7.486713,-7.5316796
7.5925145,-7.630144
7.633406,-7.6934333
7.6398144,-7.696662
7.537195,-7.573792
7.68898,-7.7515173
7.624103,-7.6849155
7.5828047,-7.6243634
7.6900806,-7.71431
7.605245,-7.6405
7.6312113,-7.7040567
7.4681334,-7.5401893
7.4607606,-7.4798656
7.713857,-7.750465
7.7222533,-7.755395
7.1500263,-7.164756
7.7217402,-7.75664
7.542441,-7.5765834
7.6404138,-7.6917367
7.688253,-7.753397
7.651385,-7.68502
7.641511,-7.649241
6.7331166,-6.823509
7.1254377,-7.106486
7.744,-7.760405
7.589429,-7.6329837
7.657695,-7.71094
7.631786,-7.6834493
7.713863,-7.7624135
7.609133,-7.664431
7.6238284,-7.647437
7.632622,-7.682787
7.743238,-7.7649126
6.893214,-6.8823233
7.572838,-7.62094
7.5676403,-7.6483245
7.6740475,-7.7127028
7.6273003,-7.6846986
7.5935063,-7.627107
1.9569161,-1.9553316
7.685723,-7.714268
7.557341,-7.642837
7.616121,-7.6676636
7.597665,-7.6164
7.652475,-7.668481
7.6698456,-7.6915226
7.691756,-7.7132907
7.5883512,-7.6007237
7.584582,-7.6038165
7.593434,-7.6147704
7.5984726,-7.627784
7.6872554,-7.7341905
7.5417094,-7.5309362
7.698209,-7.7595515
7.5614405,-7.629803
7.135668,-7.0857654
7.517466,-7.5484796
7.620217,-7.650311
7.7217636,-7.7748485
7.6345415,-7.64648
7.6811547,-7.698805
7.663526,-7.683521
7.6688347,-7.6899433
7.6721196,-7.690536
7.636654,-7.6851664
7.455662,-7.468122
7.6796327,-7.7164755
7.669743,-7.6918106
7.6557155,-7.680203
7.2628202,-7.294448
7.6817126,-7.703469
7.702933,-7.761663
7.614082,-7.6515408
7.642318,-7.684735
7.6869307,-7.7544136
7.7192254,-7.781489
7.607928,-7.6553283
6.6496153,-6.666432
7.6722465,-7.704825
7.4128466,-7.441659
7.546859,-7.614177
7.5569615,-7.6157556
7.6448584,-7.6999483
7.5960026,-7.640389
7.602625,-7.648359
7.7147512,-7.7717824
7.716816,-7.7360587
7.572555,-7.608077
7.553836,-7.5616355
7.536601,-7.5841146
7.6988893,-7.729889
7.6570787,-7.7264576
7.7129188,-7.7578835
7.754429,-7.769196
7.3695316,-7.4701447
7.674642,-7.7248363
7.514164,-7.512096
7.644253,-7.6993814
7.531857,-7.5518765
-3.1031888,3.1057696
7.695611,-7.75626
7.677619,-7.7125096
7.6242704,-7.6956573
7.6375375,-7.68735
7.6709876,-7.73295
7.647801,-7.6923532
7.599694,-7.6446986
7.5949116,-7.616144
7.6344147,-7.693549
7.6441755,-7.6939235
7.697816,-7.7417173
7.69254,-7.71456
7.6172223,-7.6602573
-5.534467,5.5660057
7.647569,-7.7033544
7.6288676,-7.6751227
7.6376934,-7.6935325
7.7465515,-7.7575045
7.602705,-7.65331
7.593964,-7.613562
7.637704,-7.692981
7.6411405,-7.691511
7.4925737,-7.513394
7.638552,-7.7040205
